Dataset Name,Domain,Country,Data Type,Access Level,Link,Use Cases,Last Updated,Challenges/Notes
Common Voice (African Languages),NLP,Africa-wide,Audio ,Open Access (CC0 – Public Domain),Common Voice,"Speech recognition, voice assistants",2024,Requires cleaning for production use
KenSwQuAD: Swahili QA Dataset,NLP,Kenya,Text ,Public (Via arXiv) ,arXiv,"Question answering systems, NLP research",2022,Limited to Swahili; dataset size may be small
FLORES+,NLP,Africa-wide,Text ,Open Access (CC BY-SA 4.0),Facebook AI / Meta,Evaluating multilingual MT systems,2024,Used in Masakhane benchmarking; supports low-resource settings
Tanzil Quran Translation Corpus,NLP,Africa-wide,Text,Open Access (CC BY 4.0),OPUS Tanzil Page,"Machine translation, religious NLP research, cross-lingual modeling",2021,"Contains 60+ language translations including Hausa, Swahili, Amharic, Yoruba; not for commercial use without permission; must cite source if used in research"
Tatoeba – Multilingual Sentence Pairs,NLP,Africa-wide,Text,Open Access (CC BY 2.0),Tatoeba Downloads,"Machine translation, language modeling, multilingual NLP research",2025,"Contains multiple African languages like Swahili, Yoruba, Zulu, Hausa, Amharic; may require filtering or preprocessing for specific use"
TICO-19 Corpus,NLP,Africa-wide,Text,Open Access (CC0 – Public Domain),OPUS-TICO-19 ,"Multilingual crisis communication, MT model training, pandemic response content localization",2021,Contains 37 languages; includes 75 bitexts and over 18 million tokens; suitable for low-resource language translation tasks
SaDILAR Language Resources,NLP,South Africa ,"Audio, Text",Open Access (CC BY 4.0),SaDILAR Resource Portal,"Speech recognition, language modeling, machine translation, education, digital humanities",2024,"High-quality, curated resources; some require registration or specific software (e.g., ELAN, Praat); documentation varies across datasets"
OpenSLR African Speech Corpora,NLP,Africa-wide,Audio ,Open Access (CC BY-SA 4.0),OpenSLR,"ASR system training, speech synthesis",2022,"Includes crowd-sourced recordings for Yoruba, Zulu, Kinyarwanda, etc."
AfriHate: Multilingual Hate Speech Dataset,NLP,Africa-wide,Text ,Open Access (CC BY 4.0),AfriHate GitHub,"Hate speech detection, NLP research",2025,Limited to 15 African languages
Bambara Sentiment Analysis Dataset,NLP,Mali,Text,Open (MIT License) ,arXiv,"Sentiment analysis, NLP research",2021,Underrepresented language; limited size
Yoruba Language,NLP,Nigeria,Text ,Open Access (CC BY-NC 4.0),Hugging Face," - Training word embeddings (FastText, BERT) - Comparing curated vs. massive embeddings - Language modeling for low-resourced African languages",2022,"Focus on Yoruba language, Contains both clean texts (with proper diacritics) and noisy texts (incorrect or missing diacritics)
"
African Multilingual Text Corpus ,NLP,Africa-wide,Text ,Open Access (CC BY 4.0),https://www.masakhane.io/,"NLP model training, translation",2023,Unequal language representation
Kallaama – Agricultural Speech Dataset,NLP ,Senegal,Audio ,Open Access (CC BY 4.0),Zenodo Dataset Page,"ASR system development, voice assistants, agricultural advisory tools in local languages, language modeling, multilingual AI research",2024,Contains over 125 hours of transcribed speech; includes validated subset (~35 hours); supports spontaneous speech modeling; may require preprocessing for ML use
Swahili News Dataset,NLP ,Africa-wide,Text ,Open Access (CC BY 4.0),Zenodo Dataset Page,"Text classification, language modeling, machine translation, AI/ML model training",2021,Contains 876 news articles labeled into 6 categories; includes train/test split; limited to Swahili; may need preprocessing
Tunizi Dataset,NLP,Tunisia,Text,Open Access (CC BY 4.0),Zenodo Tunizi Dataset,Sentiment analysis in Tunisian Arabizi,2020,Annotated social media comments; may contain noise
TaTa Dataset,NLP,Africa-wide,Text,Open Access (CC BY 4.0),arXiv,Table-to-text generation in African languages,2022,Limited to specific languages; may require preprocessing
Yoruba Speech-Text Parallel Dataset,NLP,Nigeria,Audio ,Open Access (CC BY 4.0),Hugging Face Dataset,"Speech recognition, text-to-speech synthesis, voice assistants, language modeling",2024,Contains short sentences with aligned audio; suitable for building ASR and TTS models; limited to Yoruba
Kenyan Sign Language Dataset,NLP,Kenya,Video,Restricted ,KSLD,Sign language recognition and translation. Accessibility tools for the deaf community.,2022,Requires collaboration with the university of Nairobi research team 
CrowdSpeech Africa,NLP,Africa-wide,Audio,Open Access (CC BY 4.0),Hugging Face,"Speech recognition, language modeling",2024,Designed to simulate real-life background noise; contains diverse African languages; requires Hugging Face login to download
Lacuna Fund Language datasets,NLP,Africa-wide,"Tabular, Text",Open Access (CC BY 4.0),Lacunafund Language datasets ,"sentiment analysis, translation, speech detection ",2024,referes to links 
Swahili News Corpus,NLP,East Africa,Text,Open Access (CC BY 4.0),Swahili News Corpus,"Language modeling, topic classification, AI training for Swahili NLP, digital literacy tools",2024,"High relevance to East African languages; suitable for building chatbots, translation systems, or policy analysis tools"
Chichewa News Dataset,NLP,"Malawi, Zambia",Text,Open Access (CC BY 4.0), Spoken Chichewa Corpus ,"Text classification, NLP research",2020,Limited size; specific to Chichewa language
Ewe Language ASR Dataset & Model,NLP ,"Ghana, Togo",Audio,Open Access (CC BY 4.0),GitHub Repository,"Voice-based agricultural extension, digital health tools, AI chatbots in local languages, language modeling, speech-to-text systems",2024,Contains transcribed audio files; limited to Ewe speakers; requires Hugging Face or Python tools for use
AfriSenti Dataset,NLP ,Africa-wide,Text ,Open Access (CC BY 4.0),AfriSenti GitHub,"Sentiment analysis, NLP research",2023,Limited to Twitter data; varying annotation quality
Ethiopian AI Language Dataset (Amharic),NLP,Ethiopia,Text,"Apache 2.0	",EthioNLP,"Amharic language processing, translation",2022,Access requires institutional affiliation
Masakhane Projects,NLP ,Africa-wide,Text ,Open Access (CC BY 4.0),Masakhane Project datasets ,"Machine translation, NLP research",2024,Community maintained; quality varies by language
Ubuntu Dialogue Corpus,NLP,South Africa,Text ,"Apache 2.0	",Kaggle Dataset,"Training dialogue systems , building chatbots, sentiment analysis, intent detecion ",2017,"Focused on technical support conversations, not general-purpose dialogue"
Radiant MLHub Crop Data,Agriculture,Africa-wide,Geospatial ,Open Access (CC BY-SA),Radiant Earth,"Crop type classification, land use analysis",2023,Limited regional coverage
Wheat Leaf Dataset,Agriculture ,Ethiopia,Image,Open Access (CC BY 4.0),Kaggle Link,"Crop disease detection, AI/ML model training, plant health monitoring, agricultural extension tools",2023,Contains labeled wheat leaf images; suitable for image classification tasks; limited metadata on geographic origin or acquisition conditions
AfricaRice Research Data,Agriculture ,Africa-wide,Tabular,Open Access (CC0 1.0 – Public Domain),AfricaRice Dataverse ,"Rice variety selection, trait modeling, climate-resilient crop development, yield prediction, AI/ML in plant breeding
",2024,Contact institution for some datasets; high-quality experimental data; includes multi-environment trials useful for precision agriculture
