Dataset Name,Domain,Source,Country,Data Type,Access Level,Link,Use Cases,Last Updated,Challenges/Notes
Common Voice (African Languages),NLP,Mozilla,Africa-wide,Audio,Open Access (CC0 – Public Domain),https://www.mozillafoundation.org/en/common-voice/,"Speech recognition, voice assistants",2024,Requires cleaning for production use
KenSwQuAD: Swahili QA Dataset,NLP,Barack W. Wanjawa et al.,Kenya,Text,Public (Via arXiv),https://arxiv.org/abs/2205.02364,"Question answering systems, NLP research",2022,Limited to Swahili; dataset size may be small
FLORES+,NLP,Facebook AI /Meta,Africa-wide,Text,Open Access (CC BY-SA 4.0),https://huggingface.co/datasets/openlanguagedata/flores_plus,Evaluating multilingual MT systems,2024,Used in Masakhane benchmarking; supports low-resource settings
Financial Inclusion Speech Dataset,NLP,Ashesi University (Ghana),Ghana,"Audio, Text",Open Access (CC BY 4.0),https://github.com/Ashesi-Org/Financial-Inclusion-Speech-Dataset,"Train Automatic Speech Recognition (ASR) models for Ghanaian languages in financial contexts
- Develop voice-based financial chatbots and voice-USSD interfaces for mobile money services
- Build Text-to-Speech (TTS) systems to deliver financial information via voice
- Create language models for financial NLP in low-resource African languages
- Research on digital financial inclusion barriers and language use in underserved communities",2024,"Dataset size is likely modest (tens of hours) — may require augmentation for robust ASR
- Transcriptions may vary in quality or standardization"
Afri Code Datasets (A collection of datasets for code generation in African languages),NLP,michsethowusu - Curator on Hugging Face,Africa-wide,Text,Apache 2.0,https://huggingface.co/collections/michsethowusu/afri-code-datasets,"Training and evaluating Large Language Models (LLMs) for code generation, building AI-powered coding assistants that understand African languages, research in low-resource NLP, improving developer productivity for non-English speakers.",2023,"This is a collection, not a single dataset, so users must navigate to individual datasets for use. The primary challenge it addresses is the extreme scarcity of parallel code-text data for low-resource African languages. The quality, size, and language coverage may vary significantly between the individual datasets in the collection."
BIG-C: Bemba Image Grounded Conversations,NLP,"University of Zambia (Claytone Sikasote, Eunice Mukonde) + George Mason University (Antonios Anastasopoulos)",Zambia ,Mixed Formats,Open Access (CC BY-ND 4.0),https://github.com/csikasote/bigc,"Training ASR (Automatic Speech Recognition) for Bemba
- Building MT (Machine Translation) from Bemba → English",2023,"Language-specific: Bemba has no prior large-scale digital resources
- Audio quality varies (field recordings)"
"Kallaama: A Transcribed Speech Dataset about Agriculture in Wolof, Pulaar, and Sereer",NLP,Jokalante SARL,Senegal,Mixed Formats,Open Access (CC BY 4.0),https://github.com/gauthelo/kallaama-speech-dataset,"Train Automatic Speech Recognition (ASR) models for Senegalese languages
- Build Text-to-Speech (TTS) systems for digital inclusion",2024,Dataset focused on agricultural domain
Tanzil Quran Translation Corpus,NLP,"(Dakar, Senegal)",Africa-wide,Text,Open Access (CC BY 4.0),https://opus.nlpl.eu/Tanzil/corpus/version/Tanzil,"Machine translation, religious NLP research, cross-lingual modeling",2021,"Contains 60+ language translations including Hausa, Swahili, Amharic, Yoruba; not for commercial use without permission; must cite source if used in research"
Tatoeba – Multilingual Sentence Pairs,NLP,Tatoeba Project,Africa-wide,Text,Open Access (CC BY 2.0),https://tatoeba.org/en/downloads,"Machine translation, language modeling, multilingual NLP research",2025,"Contains multiple African languages like Swahili, Yoruba, Zulu, Hausa, Amharic; may require filtering or preprocessing for specific use"
TICO-19 Corpus,NLP,OPUS Project (University of Helsinki),Africa-wide,Text,Open Access (CC0 – Public Domain),https://opus.nlpl.eu/tico-19/corpus/version/tico-19,"Multilingual crisis communication, MT model training, pandemic response content localization",2021,Contains 37 languages; includes 75 bitexts and over 18 million tokens; suitable for low-resource language translation tasks
CCAligned: A Massive Collection of Cross-lingual Web-Document Pairs,NLP,"Research team
(Ahmed El-Kishky, Vishrav Chaudhary, Francisco Guzmán, Philipp Koehn)",Africa-wide,Mixed Formats,Public,https://www.statmt.org/cc-aligned/,"Training multilingual and zero-shot machine translation models
- Building cross-lingual retrieval systems
- Creating parallel corpora for low-resource languages",2020,"Alignment based on URL patterns — may produce noisy or incorrect pairs
- No human verification — contains spam, low-quality, or irrelevant content
- Document-level alignment — not always sentence-level parallel"
